"","item","A","B","Aapprox","Bapprox"
"1",71,1.8473597050156,-0.0994703615594061,2,0
"2",20,2.5,-0.635525714483071,2.5,-0.5
"3",16,1.46327157125893,-0.614879010900222,1.5,-0.5
"4",13,1.56201406704349,-0.175665576933534,1.5,0
"5",69,0.981835107132792,-0.0704294063150883,1,0
"6",61,2.5,0.100798611456207,2.5,0
"7",60,2.00805337590573,-0.696995147911366,2,-0.5
"8",11,2.5,-0.238578006250829,2.5,0
"9",29,2.5,-0.731662087722477,2.5,-0.5
"10",51,2.5,-0.984662543975016,2.5,-1
"11",82,2.43181824731732,-0.191543606721326,2.5,0
"12",12,2.46119659090499,-0.241778318762506,2.5,0
"13",92,2.5,-0.645864974451252,2.5,-0.5
"14",27,0.00526617872778973,2.5,0,2.5
"15",38,2.5,-0.552816383571485,2.5,-0.5
"16",37,2.02094445395391,-0.239340538430224,2,0
"17",10,0.955933628006823,1.36960276315658,1,1.5
"18",25,1.29670854416813,0.877896041368922,1.5,1
"19",56,2.5,0.0800034898579225,2.5,0
"20",42,1.87911836450093,-0.576113331406563,2,-0.5
"21",33,2.5,-0.15879152523521,2.5,0
"22",4,0.00238614391758523,2.5,0,2.5
"23",15,2.5,-0.882988839140637,2.5,-1
"24",75,1.5380595922572,-0.60077667561709,1.5,-0.5
"25",44,2.5,-0.603733130090894,2.5,-0.5
"26",70,0.627077419229317,0.976303954326431,0.5,1
"27",54,2.5,0.0964143353053147,2.5,0
"28",45,1.58633139040921,-0.682653001062135,1.5,-0.5
"29",5,2.45276014646835,0.58605801746087,2.5,0.5
"30",62,2.5,-0.122518986503292,2.5,0
"31",86,0.00421005181651066,2.5,0,2.5
"32",18,2.5,-0.989724557365394,2.5,-1
"33",65,2.5,-0.800437455251135,2.5,-1
"34",21,1.90895735788999,-0.824829360286094,2,-1
"35",26,0.587202160345623,1.25820874862839,0.5,1.5
"36",73,2.5,-0.0984810110267258,2.5,0
"37",28,2.5,-0.690307525479652,2.5,-0.5
"38",7,2.29919333022895,-0.566980197240285,2.5,-0.5
"39",63,0.335774246929212,0.978903396625537,0.5,1
"40",81,1.5967631618958,0.38980705938302,1.5,0.5
"41",64,2.23921383354082,0.334072766579812,2,0.5
"42",32,2.35948770367416,-0.779024921988618,2.5,-1
"43",78,2.0669117233685,0.202943275568578,2,0
"44",48,2.5,-1.16198599735353,2.5,-1
"45",1,1.76052458174527,-0.912056841515005,2,-1
"46",39,1.71127061615116,-0.468630362127442,1.5,-0.5
"47",72,1.52893152084889,-0.27748057808567,1.5,-0.5
"48",79,2.5,-0.75900724511257,2.5,-1
"49",24,1.50495118945837,0.704721060395241,1.5,0.5
"50",77,2.5,-0.11917655828334,2.5,0
"51",23,0.0927573204040519,0.0417921543121338,0,0
"52",36,2.5,-0.499101190507629,2.5,-0.5
"53",87,0.827736565138571,0.565251860822758,1,0.5
"54",67,1.56593048768154,-0.359640824644885,1.5,-0.5
"55",40,0.350629895456824,-2.5,0.5,-2.5
"56",3,2.5,0.123126628724049,2.5,0
"57",2,2.5,-0.518985715844141,2.5,-0.5
"58",74,2.5,-0.0597722239089912,2.5,0
"59",50,1.55887480348465,0.450720093486598,1.5,0.5
"60",34,2.5,-0.489316336410925,2.5,-0.5
"61",53,0.00315212388404893,2.5,0,2.5
"62",41,2.5,-0.448020873767992,2.5,-0.5
"63",76,2.5,-0.574151622795574,2.5,-0.5
"64",35,2.17163817358278,-0.676372681633726,2,-0.5
"65",31,2.5,-0.497574723415545,2.5,-0.5
"66",47,2.5,-0.64995338985979,2.5,-0.5
"67",8,0.0635809950714605,2.5,0,2.5
"68",83,2.5,-0.419958623840624,2.5,-0.5
"69",43,0.676734751296521,1.34913921448205,0.5,1.5
"70",46,1.33875991509995,0.436025208688807,1.5,0.5
"71",17,2.5,-0.432805573032574,2.5,-0.5
"72",55,0.529214038352671,-2.04368777161417,0.5,-2
"73",6,1.82503636660986,0.0792633632663638,2,0
"74",14,2.5,-0.70840525441433,2.5,-0.5
"75",22,1.26664683116102,-1.16144429384074,1.5,-1
"76",66,2.5,-0.112027837199917,2.5,0
"77",52,2.5,-0.0150844804623728,2.5,0
"78",68,2.5,-0.241644893953031,2.5,0
"79",9,2.5,-1.0279658920907,2.5,-1
"80",19,2.36427801624741,-0.256560709204496,2.5,-0.5
"81",80,1.94481307384799,0.0904558182751772,2,0
"82",58,1.58038162911652,0.96348611283035,1.5,1
"83",59,1.34906130306626,-0.344621051306604,1.5,-0.5
"84",57,1.9924353049894,-0.271108464125292,2,-0.5
"85",84,2.5,-0.4707607364318,2.5,-0.5
"86",89,2.5,-0.421500404904614,2.5,-0.5
"87",90,2.5,-0.843742870262269,2.5,-1
"88",49,2.5,-0.617503938361142,2.5,-0.5
"89",30,2.5,-0.924702824709869,2.5,-1
"90",91,0.00714920758657745,2.5,0,2.5
"91",88,1.52729049465092,0.416234564231636,1.5,0.5
"92",85,1.29285123415611,1.09163314999896,1.5,1
